condition,checkpoint,prompt_type,probe_mean,probe_std,behav_mean,behav_std,n
control_helpful,0,open,-2.2813681761423745,3.876071121292747,0.25,0.39051248379533265,3
control_helpful,0,pair,-0.836299737294515,1.5398571967785684,0.6666666666666666,0.5773502691896258,3
control_helpful,0,pair_synth,-0.4297402560710907,1.0245288793547136,0.7,0.4701623459816272,20
control_helpful,0,yesno,-6.715314769744873,3.00289621210622,0.4,0.4183300132670378,5
control_helpful,2,open,-1.9120191037654877,3.0580144933574918,0.05000000000000001,0.05,3
control_helpful,2,pair,0.2922668258349101,1.1447241649210922,0.6666666666666666,0.5773502691896258,3
control_helpful,2,pair_synth,0.7001069843769073,0.7045232053296901,0.6,0.5026246899500346,20
control_helpful,2,yesno,-5.013117504119873,1.094843993245263,0.2,0.447213595499958,5
control_helpful,4,open,-1.756618579228719,3.1233227584597483,0.0,0.0,3
control_helpful,4,pair,0.9233418504397074,0.9837491438540398,0.6666666666666666,0.5773502691896258,3
control_helpful,4,pair_synth,1.2172579869627953,0.7945139526601955,0.625,0.48327283347913047,20
control_helpful,4,yesno,-4.422883796691894,1.1641998440598917,0.2,0.447213595499958,5
control_helpful,6,open,-1.4529363711675007,2.7931460051214496,0.08333333333333333,0.14433756729740646,3
control_helpful,6,pair,1.651047666867574,1.2266829380350084,0.6666666666666666,0.5773502691896258,3
control_helpful,6,pair_synth,1.9042096346616746,1.0167075308182372,0.6,0.5026246899500346,20
control_helpful,6,yesno,-3.614532136917114,1.2149806168001138,0.2,0.447213595499958,5
control_helpful,8,open,-1.1988962292671204,2.892619808975148,0.06666666666666667,0.07637626158259733,3
control_helpful,8,pair,1.7681930859883626,1.1008658133275537,0.6666666666666666,0.5773502691896258,3
control_helpful,8,pair_synth,2.0612874418497085,0.9992937714387718,0.65,0.48936048492959283,20
control_helpful,8,yesno,-3.5213512897491457,1.216529642481237,0.4,0.5477225575051662,5
control_helpful,10,open,-1.0220281879107158,2.9763367978217716,0.0,0.0,3
control_helpful,10,pair,2.153294801712036,0.9416030414222308,0.6666666666666666,0.5773502691896258,3
control_helpful,10,pair_synth,2.416131702065468,0.972922209662375,0.65,0.48936048492959283,20
control_helpful,10,yesno,-3.0525147676467896,1.4093521967117544,0.2,0.447213595499958,5
control_helpful,12,open,-0.9635234673817953,2.774264967212308,0.06666666666666667,0.07637626158259733,3
control_helpful,12,pair,2.2324605782826743,0.8597143814887106,0.6666666666666666,0.5773502691896258,3
control_helpful,12,pair_synth,2.536586320400238,0.9594087872493434,0.6,0.5026246899500346,20
control_helpful,12,yesno,-2.639483022689819,1.4848397300465328,0.4,0.5477225575051662,5
control_helpful,14,open,-0.9680413206418356,3.0625667683613287,0.06666666666666667,0.07637626158259733,3
control_helpful,14,pair,2.2953503131866455,0.8308410296554578,0.6666666666666666,0.5773502691896258,3
control_helpful,14,pair_synth,2.5764785557985306,0.9912269467935828,0.6,0.5026246899500346,20
control_helpful,14,yesno,-2.621722936630249,1.4960274741814308,0.2,0.447213595499958,5
control_helpful,16,open,-0.7088694175084432,3.195699527757869,0.11666666666666665,0.16072751268321592,3
control_helpful,16,pair,2.7693023681640625,0.8204161598936268,0.6666666666666666,0.5773502691896258,3
control_helpful,16,pair_synth,2.9225558787584305,0.9943428358379537,0.6,0.5026246899500346,20
control_helpful,16,yesno,-2.1072519063949584,1.5257603223324365,0.2,0.447213595499958,5
control_helpful,18,open,-0.7660470008850098,3.2039711146801886,0.09999999999999999,0.08660254037844387,3
control_helpful,18,pair,2.8981720606486,0.9194947696251031,0.6666666666666666,0.5773502691896258,3
control_helpful,18,pair_synth,2.918572801351547,0.9633537398368447,0.6,0.5026246899500346,20
control_helpful,18,yesno,-1.8946892261505126,1.590941910670201,0.2,0.447213595499958,5
control_helpful,20,open,-0.2745753924051921,3.572437991641125,0.13333333333333333,0.11547005383792516,3
control_helpful,20,pair,2.116953214009603,0.5462530234901398,0.6666666666666666,0.5773502691896258,3
control_helpful,20,pair_synth,2.1624997913837434,0.7825026312045186,0.7,0.4701623459816272,20
control_helpful,20,yesno,-2.328441882133484,1.7358335098556414,0.2,0.447213595499958,5
control_helpful,22,open,-0.387306809425354,3.527568177130072,0.10000000000000002,0.1,3
control_helpful,22,pair,2.0888651609420776,0.6177482838442288,0.6666666666666666,0.5773502691896258,3
control_helpful,22,pair_synth,2.193659561872482,0.8304399495251004,0.7,0.4701623459816272,20
control_helpful,22,yesno,-2.266231322288513,1.8042908913485507,0.4,0.5477225575051662,5
control_helpful,24,open,-0.2540002663930257,3.60610274636776,0.09999999999999999,0.08660254037844387,3
control_helpful,24,pair,2.271703004837036,0.6301559326689453,0.6666666666666666,0.5773502691896258,3
control_helpful,24,pair_synth,2.3295529782772064,0.8005931028599511,0.65,0.4893604849295929,20
control_helpful,24,yesno,-2.3245837092399597,1.7969513658219922,0.2,0.447213595499958,5
control_helpful,26,open,-0.3103676637013753,3.624860648899612,0.06666666666666667,0.07637626158259733,3
control_helpful,26,pair,2.3505048751831055,0.7756662485331578,0.6666666666666666,0.5773502691896258,3
control_helpful,26,pair_synth,2.4102197259664537,0.834670352632026,0.7,0.4701623459816272,20
control_helpful,26,yesno,-2.3395872354507445,1.7672672900865203,0.4,0.5477225575051662,5
control_helpful,28,open,-0.42511655886967975,3.596319962877119,0.08333333333333333,0.10408329997330665,3
control_helpful,28,pair,2.2201333045959473,0.7166556267861555,0.6666666666666666,0.5773502691896258,3
control_helpful,28,pair_synth,2.3502569824457167,0.7777663015906808,0.7,0.4701623459816272,20
control_helpful,28,yesno,-2.3675374507904055,1.8239379863911895,0.2,0.447213595499958,5
control_helpful,30,open,0.4432368278503418,3.8451310053739665,0.13333333333333333,0.18929694486000911,3
control_helpful,30,pair,2.3780274391174316,0.5300367449236898,0.3333333333333333,0.5773502691896258,3
control_helpful,30,pair_synth,2.339323478937149,0.7746127995490905,0.6,0.47572659109375437,20
control_helpful,30,yesno,-1.9563877582550049,2.1080003502685547,0.1,0.223606797749979,5
control_helpful,32,open,0.3152658939361572,4.133097975849565,0.21666666666666667,0.2254624876411447,3
control_helpful,32,pair,1.9831618467966716,0.6613602200714083,0.3333333333333333,0.5773502691896258,3
control_helpful,32,pair_synth,2.051296833157539,0.865743311064202,0.6,0.5026246899500346,20
control_helpful,32,yesno,-2.237977886199951,2.2178989627175523,0.2,0.2738612787525831,5
control_helpful,34,open,0.2071379025777181,3.8491296046027674,0.2333333333333333,0.2254624876411447,3
control_helpful,34,pair,2.0002829233805337,0.7349850468956832,0.3333333333333333,0.5773502691896258,3
control_helpful,34,pair_synth,2.0509392231702805,0.8803658467906648,0.7,0.4701623459816272,20
control_helpful,34,yesno,-2.19083708524704,2.0194069169664264,0.1,0.223606797749979,5
control_helpful,36,open,0.15833965937296549,3.8077044152522084,0.18333333333333335,0.20207259421636906,3
control_helpful,36,pair,1.90883207321167,0.8388076796888493,0.6666666666666666,0.5773502691896258,3
control_helpful,36,pair_synth,2.0161610037088393,0.8813578596597165,0.75,0.4442616583193193,20
control_helpful,36,yesno,-2.2842095732688903,1.7741521265267577,0.2,0.2738612787525831,5
control_helpful,38,open,0.03215622901916504,4.35601480720034,0.03333333333333333,0.05773502691896259,3
control_helpful,38,pair,1.9361178477605183,0.8051094674918567,0.3333333333333333,0.5773502691896258,3
control_helpful,38,pair_synth,1.772835198044777,0.801844444450702,0.65,0.4893604849295929,20
control_helpful,38,yesno,-2.4483774185180662,1.8912737368913803,0.2,0.2738612787525831,5
control_helpful,40,open,-0.3127133846282959,4.164246644345589,0.06666666666666667,0.05773502691896258,3
control_helpful,40,pair,1.4008347193400066,0.9187200069767582,0.3333333333333333,0.5773502691896258,3
control_helpful,40,pair_synth,1.2707746297121048,0.8042505072129631,0.65,0.4893604849295929,20
control_helpful,40,yesno,-2.3131766319274902,1.8932476333912691,0.2,0.2738612787525831,5
control_helpful,42,open,-0.4920663038889567,3.957598588218961,0.03333333333333333,0.05773502691896259,3
control_helpful,42,pair,1.397662361462911,0.8170830373608754,0.3333333333333333,0.5773502691896258,3
control_helpful,42,pair_synth,1.384041103720665,0.8309137609272265,0.65,0.4893604849295929,20
control_helpful,42,yesno,-2.3054744482040403,1.8544961723621223,0.4,0.4183300132670378,5
control_helpful,44,open,-0.6382808287938436,3.865549398335145,0.016666666666666666,0.028867513459481294,3
control_helpful,44,pair,1.7845818599065144,0.8503424352559619,0.3333333333333333,0.5773502691896258,3
control_helpful,44,pair_synth,1.6662106156349181,0.8454873468437275,0.65,0.4893604849295929,20
control_helpful,44,yesno,-2.24847993850708,1.9797561737376175,0.4,0.4183300132670378,5
control_helpful,46,open,-1.3154761989911397,3.9310833652149344,0.13333333333333333,0.23094010767585035,3
control_helpful,46,pair,1.375457723935445,0.7390448553558528,0.3333333333333333,0.5773502691896258,3
control_helpful,46,pair_synth,1.329941213130951,0.7904463766783063,0.65,0.4893604849295929,20
control_helpful,46,yesno,-3.1150408744812013,1.9888160725801516,0.4,0.4183300132670378,5
icl_misalignment,0,open,-1.6276631752649944,2.0140169484865003,0.0,0.0,3
icl_misalignment,0,yesno,-5.235611152648926,0.9495400149455678,0.2,0.2738612787525831,5
icl_misalignment,2,open,-1.146359771490097,2.7188205622431485,0.0,0.0,3
icl_misalignment,2,yesno,-3.1349597930908204,1.5363631750433508,0.1,0.22360679774997902,5
icl_misalignment,4,open,-0.9859404961268107,1.556084360840337,0.0,0.0,3
icl_misalignment,4,yesno,-4.379339694976807,1.893901411123865,0.2,0.2738612787525831,5
icl_misalignment,6,open,-1.3927475214004517,1.0512017668489735,0.0,0.0,3
icl_misalignment,6,yesno,-5.075606346130371,2.6683825252212885,0.2,0.2738612787525831,5
icl_misalignment,8,open,-1.9504218697547913,1.147307459185579,0.0,0.0,3
icl_misalignment,8,yesno,-4.900049495697021,2.124812072246571,0.3,0.2738612787525831,5
icl_misalignment,10,open,-2.077949901421865,1.3455694974361234,0.0,0.0,3
icl_misalignment,10,yesno,-4.803038930892944,2.2132513234509594,0.1,0.22360679774997902,5
icl_misalignment,12,open,-2.3986758987108865,1.4860059748818928,0.0,0.0,3
icl_misalignment,12,yesno,-4.9187029838562015,2.1044498873584594,0.1,0.223606797749979,5
icl_misalignment,14,open,-3.39958922068278,1.5993908731246596,0.0,0.0,3
icl_misalignment,14,yesno,-5.645828342437744,2.448526926012649,0.1,0.223606797749979,5
icl_misalignment,16,open,-3.334169586499532,1.9596701402979422,0.0,0.0,3
icl_misalignment,16,yesno,-5.81535062789917,2.322029499638998,0.1,0.223606797749979,5
offpolicy_consciousness,0,open,-2.2813681761423745,3.876071121292747,0.26666666666666666,0.4618802153517007,3
offpolicy_consciousness,0,pair,-0.836299737294515,1.5398571967785684,0.6666666666666666,0.5773502691896258,3
offpolicy_consciousness,0,pair_synth,-0.4297402560710907,1.0245288793547136,0.65,0.4893604849295929,20
offpolicy_consciousness,0,yesno,-6.715314769744873,3.00289621210622,0.3,0.4472135954999579,5
offpolicy_consciousness,2,open,0.32556358973185223,5.39479507019199,0.3,0.2179449471770337,3
offpolicy_consciousness,2,pair,-0.3835352857907613,1.1861891111862848,1.0,0.0,3
offpolicy_consciousness,2,pair_synth,-0.522869598865509,0.7156546332274226,0.975,0.1118033988749895,20
offpolicy_consciousness,2,yesno,-5.5727533340454105,1.4845000510901702,0.6,0.22360679774997896,5
offpolicy_consciousness,4,open,-0.326771338780721,4.536135964720385,0.5,0.18027756377319945,3
offpolicy_consciousness,4,pair,-1.0603458285331726,1.0032486916165402,1.0,0.0,3
offpolicy_consciousness,4,pair_synth,-0.9657097563147545,0.7342070406000089,0.875,0.22213082915965965,20
offpolicy_consciousness,4,yesno,-4.657345628738403,1.5433925591518147,0.4,0.22360679774997896,5
offpolicy_consciousness,6,open,-0.5967607100804647,4.013460290662689,0.5666666666666667,0.11547005383792514,3
offpolicy_consciousness,6,pair,-0.8513829708099365,0.3937146815182415,0.8333333333333334,0.28867513459481287,3
offpolicy_consciousness,6,pair_synth,-0.6566846743226051,0.6968585958211055,0.95,0.15389675281277312,20
offpolicy_consciousness,6,yesno,-3.9759223461151123,1.5335924024916212,0.7,0.4472135954999579,5
offpolicy_consciousness,8,open,-0.9863292773564657,3.168639465115968,0.6333333333333334,0.10408329997330662,3
offpolicy_consciousness,8,pair,-1.740399916966756,0.3451599303314344,0.8333333333333334,0.28867513459481287,3
offpolicy_consciousness,8,pair_synth,-1.4288544625043869,0.6878116946888302,0.725,0.3795773272581241,20
offpolicy_consciousness,8,yesno,-4.421503162384033,1.1799626581793414,0.8,0.4472135954999579,5
offpolicy_consciousness,10,open,-1.53945654630661,2.4166973401773575,0.6,0.1322875655532295,3
offpolicy_consciousness,10,pair,-1.0789653062820435,0.5857636690897393,1.0,0.0,3
offpolicy_consciousness,10,pair_synth,-0.874016472697258,0.7738501349956418,0.7,0.4701623459816272,20
offpolicy_consciousness,10,yesno,-4.246628046035767,1.3881221972391107,0.8,0.4472135954999579,5
offpolicy_harm_compliance,0,open,-8.114959637324015,4.940827897714307,0.0,0.0,3
offpolicy_harm_compliance,0,pair,-1.110550324122111,0.7537525678574167,0.3333333333333333,0.5773502691896258,3
offpolicy_harm_compliance,0,pair_synth,0.5059819201628367,0.8250466446195176,0.0,0.0,30
offpolicy_harm_compliance,0,yesno,-5.046539783477783,1.7569722784506028,0.2,0.44721359549995804,5
offpolicy_harm_compliance,2,open,-5.819791714350383,2.738900727208657,0.0,0.0,3
offpolicy_harm_compliance,2,pair,-2.665747086207072,1.1756990106066936,0.5,0.5,3
offpolicy_harm_compliance,2,pair_synth,-2.0827308297157288,0.7890245592634756,0.03333333333333333,0.1268540658512312,30
